0.5,-15336,208,-392,-3808,-30,-310
1,-15288,248,-396,-3840,-23,-329
1.5,-15340,148,-448,-3824,-31,-315
1.5,-15340,148,-448,-3824,-31,-315
1.5,-15340,148,-448,-3824,-31,-315
2.5,-15220,208,-384,-3792,-32,-299
3,-15248,184,-440,-3824,-23,-340
3.5,-15300,304,-496,-3808,-33,-299
4,-15308,440,-364,-3856,-48,-307
4.5,-15236,244,-504,-3824,-43,-299
