timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
3.6,-15360.0,132.0,936.0,-4032.0,-25.0,-287.0
3.8,-15316.0,224.0,1032.0,-4016.0,-54.0,-331.0
4.0,-15332.0,256.0,852.0,-3984.0,-42.0,-341.0
4.2,-15236.0,260.0,964.0,-4016.0,-16.0,-280.0
4.4,-15336.0,248.0,984.0,-4016.0,-38.0,-316.0
4.6,-15232.0,200.0,1040.0,-4016.0,-42.0,-316.0
4.8,-15228.0,264.0,940.0,-4032.0,-32.0,-340.0
5.1,-15220.0,268.0,1008.0,-4016.0,-21.0,-287.0
5.3,-15312.0,196.0,968.0,-4000.0,-46.0,-304.0
5.5,-15380.0,132.0,1088.0,-3984.0,-39.0,-286.0
5.7,-15240.0,212.0,1052.0,-4000.0,-41.0,-288.0
5.9,-15208.0,228.0,984.0,-3968.0,-34.0,-307.0
6.1,-15332.0,120.0,1020.0,-4000.0,-46.0,-288.0
6.3,-15156.0,168.0,912.0,-3984.0,-25.0,-289.0
6.5,-15200.0,320.0,940.0,-3984.0,-17.0,-303.0
6.7,-15236.0,184.0,1020.0,-4032.0,-16.0,-309.0
6.9,-15308.0,140.0,976.0,-3968.0,-19.0,-341.0
7.1,-15280.0,168.0,980.0,-4016.0,-59.0,-343.0
7.3,-15268.0,232.0,988.0,-4000.0,-39.0,-307.0
7.5,-15300.0,172.0,948.0,-3984.0,-53.0,-306.0
7.7,-15320.0,228.0,1012.0,-3968.0,-34.0,-313.0
7.9,-15228.0,160.0,972.0,-3984.0,-47.0,-323.0
8.1,-15212.0,224.0,868.0,-3952.0,-20.0,-302.0
8.3,-15248.0,176.0,988.0,-3936.0,-28.0,-311.0
8.5,-15384.0,152.0,844.0,-3984.0,-43.0,-331.0
8.7,-15192.0,236.0,1020.0,-3984.0,-25.0,-299.0
8.9,-15284.0,188.0,1108.0,-4000.0,-20.0,-310.0
9.1,-15228.0,208.0,952.0,-3968.0,-31.0,-280.0
9.3,-15280.0,96.0,812.0,-3984.0,-45.0,-288.0
9.5,-15236.0,144.0,932.0,-3968.0,-45.0,-321.0
9.7,-15196.0,216.0,956.0,-3968.0,-42.0,-295.0
9.9,-15200.0,212.0,964.0,-3952.0,-32.0,-330.0
10.1,-15208.0,128.0,984.0,-3968.0,-46.0,-327.0
10.3,-15384.0,160.0,864.0,-3952.0,-9.0,-337.0
10.5,-15336.0,244.0,1012.0,-3968.0,-34.0,-355.0
10.7,-15304.0,260.0,956.0,-3936.0,-23.0,-275.0
10.9,-15320.0,240.0,1056.0,-3952.0,-29.0,-323.0
11.1,-15420.0,232.0,1192.0,-3936.0,-34.0,-303.0
11.3,-15288.0,304.0,960.0,-3968.0,-28.0,-327.0
11.5,-15208.0,260.0,1044.0,-3936.0,-40.0,-312.0
11.7,-15352.0,212.0,992.0,-3936.0,-52.0,-342.0
11.9,-15360.0,192.0,968.0,-3920.0,-19.0,-293.0
12.1,-15296.0,176.0,832.0,-3936.0,-9.0,-236.0
12.3,-15116.0,128.0,1052.0,-3920.0,-40.0,-290.0
12.5,-7956.0,-1080.0,2668.0,-3952.0,16630.0,11010.0
12.7,-21520.0,968.0,1148.0,-3904.0,-16198.0,-32768.0
12.9,-14280.0,648.0,-3256.0,-3904.0,214.0,5328.0
13.1,-15320.0,356.0,760.0,-3888.0,553.0,-301.0
13.3,-15348.0,256.0,972.0,-3888.0,84.0,-298.0
13.5,-13764.0,3200.0,1864.0,-3920.0,-6627.0,2657.0
13.7,-15256.0,208.0,-96.0,-3904.0,35.0,-318.0
13.9,-14948.0,592.0,20.0,-3888.0,2049.0,-1841.0
14.1,-15248.0,1616.0,-3392.0,-3856.0,-6208.0,432.0
14.3,-15344.0,428.0,-176.0,-3872.0,-215.0,374.0
14.5,-15212.0,312.0,-68.0,-3872.0,-33.0,-304.0
14.7,-8540.0,0.0,6476.0,-3888.0,-22238.0,-20284.0
15.0,7556.0,-1648.0,13272.0,-3872.0,15305.0,7113.0
15.2,10332.0,2908.0,19588.0,-3856.0,32767.0,30088.0
15.4,-28952.0,11340.0,-22988.0,-3872.0,32767.0,32767.0
15.6,-32768.0,1284.0,-32768.0,-3856.0,9434.0,21523.0
15.8,-11372.0,448.0,-11804.0,-3840.0,-12838.0,4038.0
16.0,-15348.0,204.0,-164.0,-3856.0,31.0,-561.0
16.2,-15304.0,260.0,144.0,-3808.0,170.0,-345.0
16.4,-15216.0,364.0,72.0,-3840.0,91.0,-322.0
16.6,-15204.0,240.0,112.0,-3840.0,13.0,-313.0
16.8,-17144.0,-2896.0,-8048.0,-3840.0,-9181.0,25308.0
17.0,-3920.0,1876.0,-17172.0,-3824.0,-10865.0,3619.0
17.2,-3080.0,8800.0,-26488.0,-3792.0,13751.0,20227.0
17.4,-13740.0,2424.0,-32324.0,-3808.0,22703.0,27670.0
17.6,-16180.0,7604.0,-32768.0,-3808.0,-26687.0,-27023.0
17.8,356.0,-2772.0,464.0,-3792.0,11065.0,5839.0
18.0,-14040.0,-2068.0,-1064.0,-3760.0,3569.0,-1980.0
18.2,-15156.0,88.0,-2432.0,-3776.0,868.0,-526.0
18.4,-15180.0,136.0,-2192.0,-3760.0,46.0,-340.0
19.0,-15212.0,172.0,-2220.0,-3792.0,17.0,-314.0
19.4,-15172.0,40.0,-2260.0,-3776.0,-27.0,-270.0
20.0,-15196.0,24.0,-2236.0,-3792.0,-5.0,-307.0
20.4,-15112.0,148.0,-2300.0,-3760.0,-115.0,-304.0
21.0,-15160.0,52.0,-2244.0,-3792.0,-21.0,-310.0
21.4,-15172.0,88.0,-2160.0,-3776.0,-21.0,-333.0
22.0,-15164.0,36.0,-2248.0,-3744.0,408.0,-476.0
22.4,-15204.0,8.0,-2092.0,-3760.0,-12.0,-291.0
23.0,-15136.0,44.0,-2108.0,-3760.0,-15.0,-293.0
23.4,-15164.0,12.0,-2168.0,-3760.0,-36.0,-314.0
24.0,-15108.0,104.0,-2244.0,-3744.0,-37.0,-294.0
24.4,-15144.0,84.0,-2160.0,-3760.0,-21.0,-305.0
25.0,-15136.0,136.0,-2224.0,-3776.0,-34.0,-312.0
25.4,-15196.0,84.0,-2056.0,-3776.0,-17.0,-328.0
26.0,-15228.0,40.0,-2064.0,-3760.0,-49.0,-313.0
26.4,-15124.0,128.0,-2276.0,-3776.0,-27.0,-319.0
27.0,-15220.0,36.0,-2196.0,-3792.0,-73.0,-306.0
27.4,-15164.0,-60.0,-2156.0,-3744.0,0.0,-298.0
27.6,-15128.0,140.0,-2092.0,-3728.0,-21.0,-275.0
27.8,-15092.0,64.0,-2116.0,-3744.0,-40.0,-305.0
28.0,-15184.0,-12.0,-2092.0,-3728.0,-41.0,-288.0
28.2,-15080.0,92.0,-2064.0,-3744.0,10.0,-287.0
28.4,-15144.0,16.0,-1984.0,-3744.0,-70.0,-265.0
28.9,-15128.0,-12.0,-2216.0,-3728.0,-115.0,-278.0
29.5,-15136.0,-48.0,-2144.0,-3744.0,-44.0,-305.0
29.9,-15208.0,-36.0,-2104.0,-3728.0,-50.0,-286.0
30.5,-15148.0,92.0,-2068.0,-3744.0,-22.0,-298.0
